id	identification
GB_GCA_000402355.1	Iainarchaeum andersonii
RS_GCF_000190315.1	Vulcanisaeta moutnovskia
RS_GCF_001593955.1	Halalkalicoccus paucihalophilus
RS_GCF_000263735.1	Pyrococcus sp000263735
GB_GCA_002697065.1	MGIIb-O3 sp002697065
GB_GCA_002701145.1	MGIIa-K1 sp002701145
RS_GCF_000970285.1	Methanosarcina horonobensis
GB_GCA_002506595.1	Caldisphaera sp002506595
GB_GCA_002686355.1	ARS1301 sp002686355
RS_GCF_000739555.1	Halolamina rubra
GB_GCA_001766825.1	Syntrophoarchaeum_A butanivorans
RS_GCF_000191585.1	Methanobacterium_B lacus
RS_GCF_000012545.1	Methanosphaera stadtmanae
GB_GCA_001717015.1	Methanosuratus petracarbonis
GB_GCA_002497965.1	Methanoculleus sp002497965
GB_GCA_001315985.1	Vulcanisaeta distributa_E
GB_GCA_002508545.1	Methanomassiliicoccus sp002508545
GB_GCA_003135575.1	PALSA-1368 sp003135575
UBA10194	GW2011-AR9 sp10194u
RS_GCF_900113245.1	Halopelagius inordinatus
GB_GCA_002688335.1	ARS1180 sp002688335
GB_GCA_001564205.1	Halorubrum sp001564205
RS_GCF_001469875.2	Haloferax sp001469875
GB_GCA_001587715.1	Methanofastidiosum sp001587715
GB_GCA_001800745.1	RBG-16-68-12 sp001800745
GB_GCA_002508495.1	Methanoregula sp002508495
RS_GCF_000403645.1	Salinarchaeum sp000403645
RS_GCF_002214545.1	Thermococcus thioreducens
UBA9966	GW2011-AR13 sp9966u
GB_GCA_002762845.1	PCYB01 sp002762845
RS_GCF_000685395.1	Nitrosotenuis chungbukensis
RS_GCF_001639275.1	Methanobrevibacter_A oralis
RS_GCF_002844195.1	Halogranum sp002844195
RS_GCF_000243455.1	Methanotorris formicicus
GB_GCA_002496635.1	MGIIa-L2 sp002496635
GB_GCA_002688925.1	GCA-2688925 sp002688925
RS_GCF_000214415.1	Methanotorris igneus
GB_GCA_002508425.1	Methanomethylovorans sp002508425
GB_GCA_000965745.1	GCA-965745 sp000965745
GB_GCA_001872315.1	CG1-02-39-14 sp001872315
RS_GCF_000337735.1	Natronorubrum sulfidifaciens
GB_GCA_001595885.1	SG8-5 sp001595885
RS_GCF_000427685.1	Haloplanus natans
GB_GCA_002696315.1	MGIIa-I sp002696315
RS_GCF_000008665.1	Archaeoglobus fulgidus
GB_GCA_002498375.1	Methanocorpusculum sp002498375
GB_GCA_002506755.1	MGIIb-O3 sp002506755
GB_GCA_002686855.1	GCA-2686855 sp002686855
GB_GCA_900320955.1	Methanobrevibacter_A sp900320955
GB_GCA_002172375.1	MGIIb-O3 sp002172375
RS_GCF_001592435.1	Thermococcus peptonophilus
RS_GCF_000336675.1	Halococcus hamelinensis
GB_GCA_001786395.1	MFWN01 sp001786395
GB_GCA_002255135.1	EX4484-138 sp002255135
GB_GCA_001896715.1	Methanoculleus sp001896715
RS_GCF_000970325.1	Methanococcoides methylutens_A
GB_GCA_002725475.1	MGIIb-Q1 sp002725475
GB_GCA_900314635.1	Methanobrevibacter sp900314635
GB_GCA_001316025.1	Vulcanisaeta souniana
RS_GCF_000336935.1	Halococcus salifodinae
UBA10923	Methanosarcina sp10923u
GB_GCA_002688355.1	GCA-2688355 sp002688355
GB_GCA_003021705.1	QS-3-64-16 sp003021705
GB_GCA_003022845.1	Halovenus sp003022845
RS_GCF_001469955.1	Haloprofundus marisrubri
GB_GCA_003056265.1	NBVN01 sp003056265
RS_GCF_000147875.1	Methanolacinia petrolearia
RS_GCF_000258515.1	Thermococcus zilligii
GB_GCA_002502685.1	UBA202 sp002502685
RS_GCF_000023945.1	Halorhabdus utahensis
RS_GCF_000195935.2	Pyrococcus abyssi
GB_GCA_001595785.1	SM23-78 sp001595785
GB_GCA_002719635.1	MGIIb-O5 sp002719635
UBA10204	UBA10204 sp10204u
GB_GCA_002509325.1	Methanosarcina sp002509325
GB_GCA_002254565.1	EX4484-2 sp002254565
GB_GCA_001628485.1	MGIIb-O3 sp001628485
GB_GCA_002254805.1	EX4484-31 sp002254805
GB_GCA_003021305.1	QH-10-67-22 sp003021305
RS_GCF_001261915.1	Halorubrum sp001261915
UBA12207	MGIIa-K1 sp12207u
GB_GCA_002010195.1	Archaeoglobus_A sp002010195
UBA10192	UBA12501 sp10192u
RS_GCF_001317345.1	Thermococcus_A sp001317345
GB_GCA_003022725.1	Halovenus sp003022725
GB_GCA_002498455.1	MGIIb-P sp002498455
GB_GCA_001316285.1	Vulcanisaeta sp001316285
GB_GCA_002499525.1	Nitrosotenuis sp002499525
GB_GCA_002726845.1	MGIIa-L2 sp002726845
GB_GCA_001940725.1	LC-2 sp001940725
RS_GCF_001481295.1	Methanomethylophilus sp001481295
RS_GCF_000246985.2	Thermococcus_A litoralis
UBA10242	Methanosphaera sp10242u
GB_GCA_001593935.1	B26-1 sp001593935
RS_GCF_000016525.1	Methanobrevibacter_A smithii
GB_GCA_000496235.1	J07HR59 sp000496235
GB_GCA_002494625.1	Archaeoglobus_A sp002494625
RS_GCF_002156965.1	Nitrosopumilus catalina
GB_GCA_002763085.1	PFCY01 sp002763085
GB_GCA_002083985.1	Altiarchaeum sp002083985
GB_GCA_002011035.1	JdFR-11 sp002011035
GB_GCA_002688775.1	GCA-2688775 sp002688775
UBA11020	Methanosarcina sp11020u
GB_GCA_002495905.1	UBA57 sp002495905
RS_GCF_000243315.1	Metallosphaera yellowstonensis
RS_GCF_900198835.1	Thermococcus sp900198835
GB_GCA_002503705.1	UBA153 sp002503705
RS_GCF_000513855.1	Desulfurococcus amylolyticus
RS_GCF_001625445.1	Haladaptatus sp001625445
RS_GCF_001639285.1	Methanobrevibacter_C cuticularis
GB_GCA_001784635.1	RBG-16-49-10 sp001784635
GB_GCA_002496395.1	Methanocalculus sp002496395
RS_GCF_000621965.1	Methanobrevibacter_B wolinii
GB_GCA_000402775.1	SCGC-AAA252-I15 sp000402775
GB_GCA_003164815.1	BOG-1369 sp003164815
RS_GCF_001316085.1	Sulfolobus_B sp001316085
GB_GCA_002254405.1	EX4484-96 sp002254405
GB_GCA_002708015.1	MGIIb-N2 sp002708015
RS_GCF_000813245.1	Thermofilum carboxyditrophus
GB_GCA_002505485.1	Methanosarcina sp002505485
RS_GCF_001481685.1	Ignicoccus islandicus
GB_GCA_002457595.1	MGIIb-O1 sp002457595
GB_GCA_002499545.1	MGIIa-L1 sp002499545
GB_GCA_003022815.1	QS-1-69-70 sp003022815
GB_GCA_001543015.1	Nitrosopumilus sp001543015
GB_GCA_002498985.1	MGIIb-O2 sp002498985
RS_GCF_000230955.2	Halobacterium sp000230955
GB_GCA_900314605.1	Methanobrevibacter_B sp900314605
RS_GCF_900215575.1	Natronoarchaeum philippinense
GB_GCA_002498385.1	Methanobacterium_C sp002498385
GB_GCA_002763075.1	1-14-0-10-34-76 sp002763075
RS_GCF_000337535.1	Natrialba aegyptia
GB_GCA_001316005.1	Vulcanisaeta distributa_B
GB_GCA_002685895.1	MGIIb-Q1 sp002685895
GB_GCA_002254395.1	EX4484-71 sp002254395
RS_GCF_000723185.1	Nitrosotenuis sp000723185
GB_GCA_002496805.1	Methanobacterium sp002496805
GB_GCA_003165195.1	BOG-991 sp003165195
GB_GCA_002900535.1	M9B1D sp002900535
RS_GCF_000211475.1	Pyrococcus sp000211475
GB_GCA_001775955.1	RBG-13-38-9 sp001775955
GB_GCA_002699515.1	MGIIa-I sp002699515
GB_GCA_001510275.1	Nitrosopumilus sp001510275
GB_GCA_001800825.1	RBG-16-68-12 sp001800825
RS_GCF_001602375.1	Methanoculleus horonobensis
RS_GCF_000193375.1	Thermoproteus uzoniensis
GB_GCA_000746785.1	Nitrosopumilus sp000746785
RS_GCF_000970265.1	Methanosarcina lacustris
GB_GCA_000200715.1	Cenarchaeum symbiosum
GB_GCA_002497025.1	MGIIb-O1 sp002497025
RS_GCF_002287175.1	Methanobacterium_D bryantii
GB_GCA_003022745.1	SW-9-67-25 sp003022745
GB_GCA_003022905.1	QS-1-69-70 sp003022905
GB_GCA_003023185.1	CBA1134 sp003023185
GB_GCA_003021685.1	Halomicrobium sp003021685
RS_GCF_000007345.1	Methanosarcina acetivorans
GB_GCA_002011395.1	JdFR-45 sp002011395
RS_GCF_000327505.1	Aciduliprofundum sp000327505
GB_GCA_001564255.1	Tc-Br11-E2g1 sp001564255
GB_GCA_001629255.1	MGIIb-O3 sp001629255
GB_GCA_002722615.1	MGIIa-L2 sp002722615
GB_GCA_002720095.2	MGIIa-I sp002720095
GB_GCA_003266165.1	Methanosphaera sp003266165
GB_GCA_002497685.1	CG-Epi1 sp002497685
RS_GCF_000970085.1	Methanosarcina siciliae
RS_GCF_000145295.1	Methanothermobacter marburgensis
GB_GCA_002498525.1	MGIIb-O1 sp002498525
GB_GCA_002502215.1	MGIIa-L2 sp002502215
RS_GCF_000710605.1	Natrinema jeotgali
GB_GCA_002502785.1	Methanothrix_A harundinacea_A
GB_GCA_001774245.1	UBA8941 sp001774245
RS_GCF_003205235.1	Thermoplasma sp003205235
GB_GCA_002498125.1	UBA525 sp002498125
GB_GCA_003021045.1	QS-4-69-34 sp003021045
RS_GCF_001315945.1	Methanogenium cariaci
RS_GCF_000024185.1	Methanobrevibacter ruminantium
GB_GCA_002503135.1	UBA207 sp002503135
GB_GCA_000247545.1	Pyrobaculum oguniense
RS_GCF_000224475.1	Halolamina sp000224475
GB_GCA_002254895.1	EX4572-64 sp002254895
GB_GCA_002825515.1	SMTZ1-45 sp002825515
GB_GCA_002498365.1	VadinCA11 sp002498365
RS_GCF_000275865.1	Methanofollis liminatans
RS_GCF_000025625.1	Natrialba magadii
GB_GCA_002506645.1	Vulcanisaeta distributa_D
GB_GCA_002255045.1	EX4484-205 sp002255045
RS_GCF_900129775.1	Halobaculum gomorrense
GB_GCA_002502965.1	RumEn-M2 sp002502965
GB_GCA_002495625.1	UBA419 sp002495625
RS_GCF_000739595.1	Halorubrum halophilum
GB_GCA_002687075.1	MGIIa-L1 sp002687075
GB_GCA_002505945.1	UBA119 sp002505945
RS_GCF_000379085.1	Halomicrobium katesii
GB_GCA_002855745.1	Thermofilum_A sp002855745
RS_GCF_002494345.1	Natrinema ejinorense
GB_GCA_001315925.1	Thermocladium modestius
RS_GCF_000755225.1	Halapricum salinum
GB_GCA_000303155.1	Nitrososphaera gargensis
GB_GCA_001315965.1	Methanoculleus chikugoensis
GB_GCA_001723855.1	WOR-SM1-SCG sp001723855
GB_GCA_002694585.1	MGIIa-L3 sp002694585
RS_GCF_002214585.1	Thermococcus profundus
GB_GCA_002731395.1	MGIIa-L3 sp002731395
RS_GCF_000337475.1	Natrinema limicola
GB_GCA_001800815.1	COMBO-56-21 sp001800815
GB_GCA_002509165.1	UBA8886 sp002509165
GB_GCA_002495525.1	MGIIb-O2 sp002495525
RS_GCF_000966265.1	Palaeococcus ferrophilus
RS_GCF_000235685.2	Methanolinea tarda
GB_GCA_002502705.1	UBA582 sp002502705
GB_GCA_000806015.1	JWKY01 sp000806015
GB_GCA_003298465.1	H22 sp003298465
RS_GCF_900102305.1	Halorientalis regularis
GB_GCA_002897655.1	BMS3ABIN17 sp002897655
GB_GCA_002494895.1	Nitrososphaera sp002494895
RS_GCF_003173335.1	Methanospirillum stamsii
GB_GCA_002762795.1	1-14-0-10-37-12 sp002762795
GB_GCA_001512375.1	Methanoculleus thermohydrogenotrophicum
RS_GCF_000220175.1	Nitrosoarchaeum koreensis
GB_GCA_002763035.1	PFDC01 sp002763035
GB_GCA_002721085.1	MGIIa-L1 sp002721085
RS_GCF_000022545.1	Thermococcus_A sibiricus
GB_GCA_002839605.1	Methanoregula sp002839605
RS_GCF_000334895.1	Halococcus agarilyticus
GB_GCA_003170075.1	Methanoregula sp003170075
GB_GCA_900083515.1	Cuniculiplasma divulgatum
GB_GCA_000011005.1	Methanocella paludicola
GB_GCA_001587595.1	Methanofastidiosum sp001587595
GB_GCA_000496135.1	GCA-000496135 sp000496135
RS_GCF_000013725.1	Methanococcoides burtonii
UBA8574	MGIIa-L2 sp8574u
RS_GCF_000264495.1	Thermogladius calderae
RS_GCF_000691865.1	Methanoculleus sp000691865
GB_GCA_002690535.1	Nitrosopumilus sp002690535
RS_GCF_001280425.1	Haloarcula rubripromontorii
GB_GCA_003022685.1	Halococcus sp003022685
UBA8695	RBG-16-68-12 sp8695u
RS_GCF_000317795.1	Caldisphaera lagunensis
RS_GCF_900111935.1	Halorubrum sodomense
GB_GCA_003268005.1	Methanosphaera sp003268005
GB_GCA_002509485.1	SD8 sp002509485
RS_GCF_000336815.1	Haloferax prahovense
RS_GCF_900114835.1	Methanolobus profundi
GB_GCA_002502735.1	Methanoregula sp002502735
GB_GCA_000802205.2	Nitrosocosmicus oleophilus
UBA10536	UBA10536 sp10536u
GB_GCA_002496015.1	UBA73 sp002496015
RS_GCF_000744455.1	Methanobacterium_B sp000744455
GB_GCA_003104905.1	Methanoperedens sp003104905
GB_GCA_003021085.1	QS-1-68-20 sp003021085
GB_GCA_002496425.1	UBA162 sp002496425
GB_GCA_002505455.1	MGIIb-N1 sp002505455
GB_GCA_002254415.1	EX4484-52 sp002254415
GB_GCA_002010075.1	JdFR-19 sp002010075
RS_GCF_000172995.2	Halogeometricum borinquense
RS_GCF_000300255.2	Methanomethylophilus alvus
GB_GCA_000375685.1	AAA261-N23 sp000375685
RS_GCF_003201765.1	Acidianus sulfidivorans
GB_GCA_002204705.1	B-DKE sp002204705
GB_GCA_002708385.1	MGIIb-O1 sp002708385
GB_GCA_002688095.1	GCA-2688095 sp002688095
RS_GCF_002572525.1	Natrinema sp002572525
GB_GCA_001629235.1	MGIIb-O3 sp001629235
RS_GCF_000144915.1	Acidilobus saccharovorans
GB_GCA_000495735.1	Acidilobus sp000495735
RS_GCF_000430485.1	Thermococcus_A sp000430485
RS_GCF_002813695.1	Methanobacterium subterraneum
RS_GCF_000337175.1	Natrinema gari
RS_GCF_001971705.1	Natronorubrum daqingensis
RS_GCF_003149675.1	Methanosphaera cuniculi
GB_GCA_000494185.1	AWOC01 sp000494185
GB_GCA_003021335.1	Halovenus sp003021335
GB_GCA_002504495.1	UBA71 sp002504495
GB_GCA_001399805.1	BA1 sp001399805
RS_GCF_900107195.1	Halobellus clavatus
GB_GCA_002509225.1	UBA102 sp002509225
RS_GCF_000018365.1	Thermococcus onnurineus
GB_GCA_002899805.1	ARK-14 sp002899805
GB_GCA_003158275.1	Bog-38 sp003158275
GB_GCA_003021285.1	Halovenus sp003021285
RS_GCF_000812185.1	Nitrosopelagicus brevis
RS_GCF_000337795.1	Haloferax denitrificans
GB_GCA_002254385.1	EX4484-6 sp002254385
GB_GCA_002506485.1	CG-Epi1 sp002506485
UBA11384	UBA11384 sp11384u
GB_GCA_002702985.1	MGIIb-N2 sp002702985
GB_GCA_000875775.1	Nitrosopumilus piranensis
RS_GCF_900104065.1	Natronobacterium_A texcoconense
GB_GCA_002505695.1	MGIIb-N1 sp002505695
GB_GCA_002501605.1	MGIIb-O5 sp002501605
GB_GCA_003193925.1	Thalassarchaeum betae
GB_GCA_002697705.1	MGIIa-L1 sp002697705
GB_GCA_002504435.1	MGIIb-O5 sp002504435
GB_GCA_002730095.1	MGIIb-O5 sp002730095
GB_GCA_001421175.1	RumEn-M2 sp001421175
RS_GCF_002906575.1	Salinigranum rubrum
RS_GCF_000337835.1	Haloferax sulfurifontis
UBA11576	UBA11576 sp11576u
GB_GCA_002724815.1	MGIIb-P sp002724815
GB_GCA_002497905.1	MGIIb-N2 sp002497905
UBA12459	UBA9642 sp12459u
RS_GCF_001542905.1	Halorubrum aethiopicum
RS_GCF_900115785.1	Halogeometricum limi
GB_GCA_001437625.1	Nitrosopumilus sp001437625
GB_GCA_002687775.1	NZBF01 sp002687775
GB_GCA_002707335.2	MGIIa-K1 sp002707335
GB_GCA_002898395.1	HRBIN02 sp002898395
GB_GCA_000746765.1	Nitrosopumilus sp000746765
GB_GCA_000405225.1	ASMP01 sp000405225
RS_GCF_000151205.2	Thermococcus sp000151205
GB_GCA_000402515.1	SCGC-AAA011-G17 sp000402515
RS_GCF_900196725.1	Methanoperedens nitroreducens_A
RS_GCF_001541925.1	Nitrosopumilus sp001541925
GB_GCA_001875345.1	CG-Epi1 sp001875345
GB_GCA_002506745.1	SM1-50 sp002506745
GB_GCA_002170315.1	MGIIa-L1 sp002170315
UBA9293	UBA9212 sp9293u
GB_GCA_002503395.1	UBA60 sp002503395
GB_GCA_001920395.1	Nitrosotalea sp001920395
GB_GCA_002506335.1	UBA114 sp002506335
RS_GCF_000517625.1	Halostagnicola larsenii
GB_GCA_002898355.1	HRBIN01 sp002898355
GB_GCA_002501805.1	MGIIb-O5 sp002501805
GB_GCA_002505525.1	UBA431 sp002505525
GB_GCA_002689345.1	MGIIa-K1 sp002689345
GB_GCA_001776015.1	RBG-16-57-9 sp001776015
GB_GCA_001593845.1	B63 sp001593845
GB_GCA_002687815.1	GCA-2687815 sp002687815
GB_GCA_002762865.1	CG1-02-33-12 sp002762865
GB_GCA_002727485.1	MGIIa-L1 sp002727485
GB_GCA_001316105.1	Thermogymnomonas acidicola
RS_GCF_000336895.1	Haloarcula argentinensis
UBA11892	MGIIa-L3 sp11892u
GB_GCA_003056285.1	NZ13-MG1 sp003056285
GB_GCA_003164415.1	Methanobacterium_B sp003164415
GB_GCA_003111625.1	Methanobrevibacter_A thaueri
GB_GCA_002497245.1	MGIIb-O2 sp002497245
GB_GCA_002503055.1	Thalassarchaeum sp002503055
GB_GCA_000015805.1	Pyrobaculum calidifontis
RS_GCF_000025325.1	Haloterrigena turkmenica
GB_GCA_900319985.1	Methanobrevibacter_A sp900319985
GB_GCA_003086555.1	QEFN01 sp003086555
GB_GCA_002688035.1	GCA-2688035 sp002688035
GB_GCA_001940645.1	LC-3 sp001940645
RS_GCF_002214505.1	Thermococcus siculi
GB_GCA_002496845.1	MGIIa-L3 sp002496845
GB_GCA_002496955.1	MGIIa-L1 sp002496955
GB_GCA_002688415.1	ARS1160 sp002688415
RS_GCF_000336755.1	Haloferax elongans
GB_GCA_002717835.1	MGIIb-N1 sp002717835
GB_GCA_002507205.1	Methanolobus sp002507205
RS_GCF_003175215.1	Nitrosopumilus sp003175215
GB_GCA_001786415.1	RBG-13-33-26 sp001786415
GB_GCA_002713585.1	MGIIb-N2 sp002713585
GB_GCA_002503105.1	UBA206 sp002503105
GB_GCA_001871535.1	UBA8471 sp001871535
RS_GCF_001482285.1	Haloferax sp001482285
GB_GCA_001516765.1	Vulcanisaeta sp001516765
GB_GCA_002503595.1	UBA203 sp002503595
UBA11921	Methanosphaera sp11921u
